sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
692,2008,OWW04440-0586,40.86921697,-76.08339211,3,2050107,Year2008,1st,2.07,0.05963,286,9.2956,9.164959908,469.563,93.823,0,4.518,0,0.838,0,0,,0.464,1.779,12.81,0.007,0,4.452,3.9,1.6,2.76,6.6,31.71,5.442,42.04,0.0204,132.42,,,,,,,,,
693,2008,FW08PA018,39.8477077,-76.13974364,3,2050306,Year2008,1st,0.4,17.45625,17950,98.1631,0.736199975,183.194,5.134,0,5.012,89.854,1.677,20.572,0,,3.821,15.36,7.717,0.014,0.01314,8.388,33.16,21.1,12.35,7.2,18.12,24.53,391.06,0.0028,322.81,,,,,,,,,
694,2008,FW08PA023,41.28870741,-77.34123227,3,2050205,Year2008,5th,1.42,0.0059,145,7.7663,2437.540039,548.871,83.337,0.45,1.904,9.529,0.929,5.989,4.366,,1.387,4.032,6.007,0.01,0,0.746,23.52,0.5,3.13,7.86,8.58,16.58,685.02,0.0095,157.87,,,,,,,,,
695,2008,FW08PA029,41.44305077,-75.66055299,3,2050107,Year2008,3rd,2.82,8.54034,9338,1455.538,45.8512001,437.396,51.918,0.541,32.303,11.565,4.725,349.839,1.984,,7.568,5.269,100.7,0.019,0.0105,3.014,37.4,1.8,0.47,8.04,165.01,46.03,1050.61,3.00E-04,824.22,,,,,,,,,
696,2008,FW08PA037,41.83170096,-76.33241025,3,2050106,Year2008,3rd,1.4,0.06569,228,8.8038,67.20839691,409.28,47.237,0.257,4.951,45.809,1.519,13.426,0.752,,2.477,3.552,7.428,0.006,0,1.751,9.17,2,3.31,7.92,10.5,12.8,809.35,3.00E-04,144.14,,,,,,,,,
697,2008,FW08PA039,41.37242695,-77.42404242,3,2050205,Year2008,5th,1.45,0.0041,166,4.7938,1879.390015,563.211,83.048,0.48,1.828,9.344,0.916,6.631,4.937,,1.188,3.336,5.701,0.008,0,0.452,21.48,0.2,3.36,7.88,9.55,15.26,713.48,0.0103,161.3,,,,,,,,,
698,2008,FW08ROH9019,39.63976424,-83.01537818,5,5060001,Year2008,5th,2.31,0.46121,878,80.4638,1433.01001,301.529,8.383,0.183,8.644,81.394,1.414,54.606,0.851,,3.101,32.3,38.35,0.016,0,5.196,66.47,10.6,7.27,8.19,58.6,69.99,4825.36,0.0014,764.36,,,,,,,,,
699,2008,OWW04440-0134,40.80568231,-81.38993132,5,5040001,Year2008,3rd,3.91,0.43378,964,44.2913,105.0360031,345.864,10.622,0.25,71.883,15.73,7.647,746.402,1.19,,3.16,18.97,86.14,0.1,0,9.186,70.78,5.2,6.01,8.11,153.94,91.46,3756.98,0.0025,1003.39,,,,,,,,,
700,2008,OWW04440-0192,39.74752967,-82.77872819,5,5060001,Year2008,1st,2.79,0.0513,423,34.2688,3.516299963,318.394,13.284,0,9.214,73.944,1.806,71.289,2.738,,2.113,28.33,20.76,0.03,0.00243,4.941,43.95,9.2,6.7,8.44,40.91,76.75,4956.62,3.00E-04,693.6,,,,,,,,,
701,2008,OWW04440-0096,40.06407859,-82.53392123,5,5040006,Year2008,4th,2.7,1.74733,2162,78.81,212.7920074,339.278,25.405,0.037,7.589,65.687,2.033,47.048,0.967,,3.276,22.01,14.29,0.026,0,7.409,42.36,29.2,21.9,8.45,24.75,68.72,4413.02,8.00E-04,573.6,,,,,,,,,
702,2008,FW08OH012,39.30982385,-82.96429692,5,5060003,Year2008,5th,12.62,0.75042,1538,95.5313,2950.52002,NA,NA,NA,NA,NA,NA,NA,NA,,6.802,27.49,85.04,0.067,0,7.317,114.46,10,8.64,8.34,63.26,73.21,5014.11,0.0581,897.14,,,,,,,,,
703,2008,FW08OH017,40.26612178,-81.87411348,5,5040004,Year2008,7th,3.7,0.96913,1388,26.735,12566.90039,334.351,38.473,0.688,14.025,43.888,2.444,90.075,1.438,,3.894,20.96,29.73,0.011,0,6.583,113.89,25.4,15.2,8.51,44.57,68.8,2899.15,0.0129,637.8,,,,,,,,,
704,2008,OWW04440-0378,41.51664843,-81.22317665,5,4110003,Year2008,1st,1.76,0.03448,155,12.3413,2.720890045,374.19,62.802,0.066,4.758,17.641,1.697,118.114,12.091,,1.497,18.05,7.545,0.018,0,12.732,38.48,0.7,5.6,8.37,10.11,67.79,4154.9,3.00E-04,497.57,,,,,,,,,
705,2008,FW08OH028,40.01635667,-83.25296601,5,5060001,Year2008,4th,2.91,0.25577,636,78.6425,566.1439819,313.862,8.61,0.169,8.158,81.702,1.664,31.743,0.898,,3.397,37.57,37.83,0.023,0,5.677,110.54,8.7,6.82,8.4,59.01,83.78,5070.12,0.0023,851.33,,,,,,,,,
706,2008,FW08OH012,39.30982385,-82.96429692,5,5060003,Year2008,5th,6.74,2.36542,3000,58.72,2950.52002,297.068,21.113,0.042,6.32,69.237,1.501,30.304,2.609,,3.692,25.91,36.66,0.012,0,6.348,69.6,12,12,8.45,36.9,68.9,4694.73,0.0289,667.4,,,,,,,,,
707,2008,FW08OH017,40.26612178,-81.87411348,5,5040004,Year2008,7th,3.19,0.23494,1440,123.5319,12566.90039,NA,NA,NA,NA,NA,NA,NA,NA,,4.678,20.53,41.55,0.01,0.01026,1.561,97.87,25.4,9.08,8.62,66.02,54.84,2287.87,0.0075,642.6,,,,,,,,,
708,2008,FW08OH018,40.58128197,-81.39513962,5,5040001,Year2008,6th,3.25,2.76723,3125,356.8869,2881.409912,334.278,25.863,1.121,28.047,41.479,3.658,221.248,1.906,,10.52,23.13,84.37,0.022,0.00144,6.853,131.15,5.8,6.12,8.21,180.28,98.07,3738.51,0.0053,1215.11,,,,,,,,,
709,2008,FW08OH019,39.13619225,-84.3420566,5,5090202,Year2008,6th,3.05,2.43859,2963,429.0613,4430.27002,285.891,23.457,0.156,17.246,56.965,2.606,129.145,1.084,,7.22,24.16,62.62,0.021,0,4.798,43.73,6.5,6.41,8.42,105.71,71.71,4149.66,0.0065,829.31,,,,,,,,,
710,2008,FW08OH021,39.46602863,-81.48059021,5,5040004,Year2008,7th,2.53,1.22088,1795,131.7388,20798.09961,316.694,44.316,0.511,11.963,39.897,2.23,69.981,1.803,,7.058,27.14,48.25,0.012,0,7.672,142.47,13.4,11.04,8.35,73.77,88.3,3188.43,0.0062,830.82,,,,,,,,,
711,2008,FW08OH023,38.8266823,-83.0176862,5,5060002,Year2008,6th,4.71,0.87764,2051,153.0981,16754.5,283.528,25.574,0.162,12.84,58.349,2.153,102.431,2.13,,4.222,16.74,28.99,0.01,0.01273,0.392,57.66,73.9,43.44,8.51,34.31,40.69,2467.68,0.01,483.85,,,,,,,,,
712,2008,FW08OH024,41.02829168,-83.21294985,5,4100011,Year2008,5th,4.17,1.74015,2201,121.2138,2007.099976,282.089,9.055,0.434,7.623,80.603,1.814,26.2,1.409,,6.107,29.36,23.33,0.016,0,5.813,156.72,32.5,31.71,8.03,43.17,93.66,3401.07,0.0041,767.67,,,,,,,,,
713,2008,FW08OH027,41.20853605,-80.81059067,5,5030103,Year2008,5th,5.97,0.41386,1079,85.5663,1577.050049,325.77,36.179,3.558,15.101,38.005,2.329,106.342,4.134,,5.531,10.51,31.19,0.078,0.01205,6.894,59.43,11.1,10.08,8.03,53.44,43.59,1621.14,0.0219,472.35,,,,,,,,,
714,2008,FW08OH031,39.69271043,-84.23253925,5,5080002,Year2008,7th,2.5,2.90105,3913,176.0063,6742.77002,313.32,8.568,0.284,15.993,72.674,2.491,117.071,1.4,,2.929,29.16,20.08,0.008,0.00184,6.446,39.06,17.4,13.1,8.6,37.71,75.1,5292.68,0.0021,693.8,,,,,,,,,
715,2008,FW08OH033,40.39459662,-82.5034368,5,5040003,Year2008,5th,3.26,1.00325,1520,71.585,549.8629761,369.691,30.087,0.259,7.497,60.685,1.873,30.908,0.625,,2.825,17.81,10.15,0.016,0,6.445,29.24,14.5,11.3,8.35,19.54,51.93,3471.77,0.0038,431.3,,,,,,,,,
716,2008,FW08OH035,39.97682587,-84.17016929,5,5080001,Year2008,5th,3.13,0.58947,1774,226.7844,2522.129883,312.496,8.476,0.308,11.629,76.632,2.065,60.188,1.418,,3.478,28.04,22.62,0.007,0,1.453,43,34.6,24.64,8.52,38.39,62.09,4468.47,0.0058,605.85,,,,,,,,,
717,2008,FW08OH032,40.51499987,-83.02566642,5,5060001,Year2008,5th,4.82,0.29432,761,138.063,470.7869873,323.366,12.484,0.37,9.079,77.511,1.941,46.807,0.349,,3.822,26.47,21.81,0.02,0,7.246,70.39,17.2,20.52,8.29,35.85,83.63,4730.01,7.00E-04,680.52,,,,,,,,,
718,2008,OWW04440-0078,36.31967155,-87.67491152,4,5130205,Year2008,3rd,0.38,0.16107,299,25.4394,52.02159882,190.341,84.894,0,2.862,5.031,1.54,11.646,7.212,,0.987,4.751,2.642,0.015,0,9.21,3.97,9.3,3.02,8.12,3.99,52.78,2935.81,3.00E-04,300.76,,,,,,,,,
719,2008,OWW04440-0862,36.37562986,-84.25585243,4,6010205,Year2008,1st,2.21,0.22403,435,23.62,1.920600057,568.526,60.028,0,26.852,0,2.354,0,12.793,,3.088,11.16,93.39,0.012,0,7.063,28.23,14.9,5.27,8.47,58.96,31.69,4108.4,0.0044,652.29,,,,,,,,,
720,2008,OWW04440-0862,36.37562986,-84.25585243,4,6010205,Year2008,1st,1.68,0.14959,348,18.7956,1.920600057,NA,NA,NA,NA,NA,NA,NA,NA,,2.814,10.48,94.61,0.009,0,6.248,26.19,14.2,6.34,8.42,56.2,27.8,4592.29,0.0029,672.19,,,,,,,,,
721,2008,OWW04440-0132,36.45872528,-82.42141579,4,6010102,Year2008,2nd,0.69,1.1523,1585,50.3238,5.8572402,470.961,16.956,0,26.101,56.268,3.588,81.806,0.675,,2.531,13.61,3.651,0.023,0,10.748,12.29,50.7,18.99,8.03,7.25,90.5,5238.3,0.0045,543.36,,,,,,,,,
722,2008,OWW04440-0132,36.45872528,-82.42141579,4,6010102,Year2008,2nd,0.47,1.22455,1380,0.175,5.8572402,NA,NA,NA,NA,NA,NA,NA,NA,,2.358,15.28,3.652,0.011,0,11.264,12.24,1.7,3.35,8.25,7.6,88.41,5365.77,3.00E-04,553.1,,,,,,,,,
723,2008,FW08TN006,36.52332745,-81.95672963,4,6010102,Year2008,1st,0.19,0.04647,122,9.9988,1.069200039,1028.76,94.697,0,2.104,2.609,1.37,0,0.589,,0.654,0.203,0.295,0.005,0,6.35,0.8,11.8,4.2,6.44,0.3,0.397,34.66,0.0065,9.63,,,,,,,,,
724,2008,FW08TN007,35.39696378,-84.27655869,4,6010204,Year2008,4th,1.08,0.12301,321,30.235,350.3869934,690.664,91.769,0.053,2.705,3.708,0.907,6.967,1.708,,0.891,2.473,1.443,0.014,0,5.925,2.34,11.2,5.33,7.72,1.16,6.981,571.42,0.0169,69.25,,,,,,,,,
725,2008,FW08TN010,36.60637345,-85.50504067,4,5130103,Year2008,6th,2.1,0.33916,768,10.9663,16273.2002,400.625,69.817,0.043,6.97,13.713,1.324,22.602,7.419,,1.732,6.43,6.5,0.032,0,5.79,34.18,5.4,4.53,7.95,5.83,21.7,1075.15,0.0129,208.53,,,,,,,,,
726,2008,FW08TN010,36.60637345,-85.50504067,4,5130103,Year2008,6th,1.69,0.28455,543,10.7506,16273.2002,NA,NA,NA,NA,NA,NA,NA,NA,,1.629,6.462,6.39,0.028,0,5.014,34.04,2.2,4.4,7.9,5.69,21.47,1085.15,0.0095,210.86,,,,,,,,,
727,2008,FW08TN011,35.95144947,-83.55065947,4,6010107,Year2008,7th,1.67,0.00615,483,95.0513,11774,764.853,66.776,0.155,9.043,20.783,2.025,50.949,2.043,,1.818,3.146,8.161,0.213,0,6.437,11.06,6.9,13.06,7.65,7.14,14.48,987.38,3.00E-04,153.97,,,,,,,,,
728,2008,FW08TN011,35.95144947,-83.55065947,4,6010107,Year2008,7th,1.86,0.02228,428,33.8575,11774,NA,NA,NA,NA,NA,NA,NA,NA,,2.229,3.16,10.53,0.165,0,5.315,14.47,3.6,8.44,7.61,8.98,14.16,994.47,0.0014,164.9,,,,,,,,,
729,2008,FW08TN013,35.67241402,-87.26333295,4,6040003,Year2008,6th,2.19,0.91691,1274,361.602,4378.450195,255.053,40.988,0.936,8.274,44.831,1.586,38.742,4.247,,3.42,5.231,10.4,0.021,0.00136,5.593,23.89,8.5,9.45,8.14,12.43,52.28,2724.75,0.0138,356.94,,,,,,,,,
730,2008,FW08TN014,35.67847269,-84.89154319,4,6010201,Year2008,1st,0.88,0.00439,246,53.91,1.035899997,362.351,66.117,0,12.511,0,2.524,14.385,21.373,,0.766,2.513,1.023,0.024,0,7.382,2.2,77.6,46.43,7.48,1.44,17.94,1160.9,0.0033,126.49,,,,,,,,,
731,2008,FW08TN015,36.12507575,-83.18162259,4,6010108,Year2008,6th,1.64,0.26141,475,26.2713,4402.529785,711.467,59.188,0.17,6.687,31.507,1.688,35.585,2.154,,1.686,2.915,3.838,0.012,0,7.5,7.33,8.3,6.36,7.85,5.31,12.08,761.02,0.0173,116.18,,,,,,,,,
732,2008,FW08TN018,36.19969329,-86.6729338,4,5130202,Year2008,7th,2.07,0.11781,713,119.42,32794.89844,354.75,62.04,0.23,8.048,21.076,1.477,33.964,6.26,,1.806,6.08,6.211,0.025,0.00844,3.887,25.23,6.5,7.4,8.1,7.78,29.8,1660.28,0.0037,244.92,,,,,,,,,
733,2008,FW08TN019,35.82909924,-83.48463899,4,6010107,Year2008,1st,6.01,0,756,256.4388,1.512899995,350.311,74.122,0,5.889,19.453,2.623,61.155,0.535,,10.48,15.4,12.08,0.029,0,18.974,4.74,21.6,10.44,8.03,8.68,71.91,5070.32,3.00E-04,509.26,,,,,,,,,
734,2008,FW08TN024,35.06898411,-86.96136076,4,6030004,Year2008,6th,1.42,0.49885,899,295.4238,1222.449951,268.076,47.003,0.343,5.875,42.569,1.359,20.492,4.02,,2.281,4.627,7.757,0.022,0.00225,5.195,13.51,11.3,7.61,8.09,12.52,48.22,2633.34,0.0247,323.77,,,,,,,,,
735,2008,FW08TN025,35.90159547,-87.84312679,4,6040004,Year2008,5th,0.27,0.08423,144,26.117,1909.790039,245.318,67.81,0.623,3.916,18.873,1.19,13.294,8.431,,0.785,2.18,1.479,0.011,0,7.486,3.29,5.2,4.61,7.94,2.18,20,1136.73,0.002,131.04,,,,,,,,,
736,2008,FW08TN027,35.95221355,-83.79580497,4,6010107,Year2008,7th,1.78,0.05085,293,32.195,13234.2002,737.922,67.197,0.147,9.056,20.422,2.068,51.203,2.055,,1.9,3.126,8.343,0.027,0.00327,5.056,11.92,1,5.03,7.97,7.22,14.34,879.6,0.005,155.36,,,,,,,,,
737,2008,FW08TN029,35.76148187,-87.49864065,4,6040003,Year2008,6th,1.4,0.47416,771,228.4694,5346.930176,250.376,47.102,0.777,7.396,39.534,1.528,34.327,4.528,,2.19,4.476,6.07,0.018,0.00132,7.052,15.51,9.1,7.91,8.15,7.64,41.67,2266.1,0.0109,284.29,,,,,,,,,
738,2008,FW08TN030,35.54916085,-86.95243048,4,6040002,Year2008,3rd,5.7,0.00633,1032,236.1963,37.34009933,234.29,50.808,0.133,6.341,37.156,1.759,13.265,5.563,,3.189,7.726,3.111,0.034,0,7.766,10.52,23.7,14.75,7.96,8.4,67.83,3901.32,0.006,419.34,,,,,,,,,
739,2008,FW08TN031,36.22266757,-82.97198856,4,6010108,Year2008,5th,3.35,0.53362,1055,150.64,473.9760132,432.549,37.358,0.284,6.495,53.596,1.788,25.959,2.168,,5.444,16.83,4.563,0.039,0,10.419,28.92,57.8,40.8,8.13,7.36,59.82,4046.54,0.0046,466.82,,,,,,,,,
740,2008,FW08TN035,36.49377313,-83.61879405,4,6010206,Year2008,1st,0.14,1.37721,1501,7.1213,1.987200022,480.398,17.889,0,9.737,39.674,2.184,46.148,32.699,,1.488,23.11,1.089,0.004,0,10.459,1.7,1,2.89,8.18,2.31,41.14,3873.86,3.00E-04,380.26,,,,,,,,,
741,2008,WWYP99-0598,42.873144,-109.1805961,8,10080002,Year2008,1st,2.39,0.02017,173,9.4525,3.018709898,3283.47,43.317,0,0,0,0,0,54.683,,0.341,0.549,1.218,0.007,0,5.428,0.95,0.8,3.45,7.19,0.26,2.431,199.44,0.0105,23.53,,,,,,,,,
742,2008,WWAP99-0676,46.20886743,-121.7938865,10,17080002,Year2008,3rd,0.38,0.00451,108,0.5831,33.81750107,1166.98,94.973,0,0.125,0,0.035,0,4.889,,0.156,0.547,1.957,0.005,0,12.651,3.05,0,0.01,7.57,0.54,4.698,298.97,0.0013,35.87,,,,,,,,,
743,2008,FW08WA020,46.27617069,-118.1924783,10,17070102,Year2008,5th,1.21,0.16768,345,72.6,914.7880249,904.534,37.421,0.68,3.853,40.129,0.926,5.408,17.915,,2.286,3.482,3.895,0.015,0,36.408,1.5,3.3,1.18,8.35,1.08,8.582,838.12,0.0036,93.32,,,,,,,,,
744,2008,FW08WA028,47.5038301,-119.2924423,10,17020014,Year2008,5th,1.4,0.01398,221,18.9388,195534,1303.94,36.532,0.571,0.989,2.7,0.444,4.96,13.105,,1.174,4.633,2.944,0.007,0,7.918,7.87,2.8,3.18,8.15,0.95,18.17,1232.51,5.00E-04,146.29,,,,,,,,,
745,2008,FW08WA035,48.25250673,-120.1167156,10,17020008,Year2008,6th,0.89,0.02868,97,3.26,3899.870117,1494.05,51.126,0.749,1.686,0.276,0.915,1.134,41.981,,0.616,2.321,2.352,0.014,0,9.522,4.48,0,1.87,8.16,0.39,15.24,964.93,0.0067,107.7,,,,,,,,,
746,2008,FW08LA036,30.75505892,-91.59551885,6,8070100,Year2008,8th+,2.900532946,NA,891.679,211,2952750,691.085,20.632,2.718,5.423,36.9,1.293,24.18,31.455,,3.987,17.288,23.03,0.011,NA,5.872,43.18265849,59.33333333,NA,NA,27.00017782,43.15,2738.8584,NA,NA,,,,,,,,,
747,2008,FW08LA051,30.20902194,-91.04196613,6,8070100,Year2008,8th+,2.844108068,NA,1305,137,2954660,690.667,20.642,2.733,5.423,36.886,1.293,24.183,31.442,,4.177,17.604,29.727,0.0114,NA,13.105,54.9857252,81.55555556,NA,NA,34.06204987,44.144,3281.9148,NA,NA,,,,,,,,,
748,2008,FW08LA052,30.7423109,-91.36272658,6,8070100,Year2008,8th+,3.074180724,NA,947.081,147,2953400,690.944,20.638,2.722,5.423,36.894,1.293,24.177,31.45,,3.748,11.665,20.66,0.00684,NA,5.734,41.37709711,62.57142857,NA,NA,24.30406428,34.39,2742.89436,NA,NA,,,,,,,,,
749,2008,FW08LA067,30.04689637,-90.54004855,6,8070100,Year2008,8th+,2.767230736,NA,772.947,134,2954750,690.646,20.641,2.733,5.423,36.884,1.293,24.182,31.441,,3.861,3.73,28.331,0.00843,NA,5.693,47.0106521,59.6,NA,NA,33.41382505,37.07,3301.81488,NA,NA,,,,,,,,,
750,2008,FW08LA068,30.50565718,-91.2590743,6,8070100,Year2008,8th+,3.28,0.94525,1358,177.6713,2954360,690.735,20.644,2.73,5.421,36.888,1.293,24.173,31.445,,4.325,14.8,19.07,0.008,0,7.682,38.23,44.7,26.19,8.07,23.84,43.76,2761.86,0.0044,418.98,,,,,,,,,
751,2008,FW08LA070,29.93990765,-90.00286731,6,8090100,Year2008,8th+,2.815423198,NA,444.766,165,2955290,690.519,20.637,2.735,5.433,36.878,1.295,24.41,31.435,,4.583,7.986,26.565,0.0287,NA,14.007,51.94530254,68.44444444,NA,NA,40.48733201,43.412,3268.1286,NA,NA,,,,,,,,,
752,2008,FW08LA131,30.04065806,-90.63434836,6,8070100,Year2008,8th+,2.788091449,NA,915.553,149,2954730,690.649,20.641,2.733,5.423,36.884,1.293,24.182,31.441,,3.905,8.884,18.173,0.0142,NA,5.885,48.18502066,66.44444444,NA,NA,34.34508005,53.03,3196.46034,NA,NA,,,,,,,,,
753,2008,FW08LA134,29.87322413,-89.9043211,6,8090100,Year2008,8th+,3.174980724,NA,339.937,151,2955410,690.49,20.636,2.736,5.435,36.876,1.295,24.452,31.434,,3.531,11.785,21.627,0.00816,NA,14.142,48.73085418,65.2,NA,NA,36.33473619,36.488,2914.8822,NA,NA,,,,,,,,,
754,2008,FW08LA151,29.98096797,-90.82046885,6,8070100,Year2008,8th+,2.882413846,NA,379.772,149,2954710,690.655,20.642,2.733,5.423,36.885,1.293,24.183,31.441,,3.777,16.913,28.392,0.0136,NA,14.175,56.40723937,52.6,NA,NA,35.15985875,45.567,3250.5462,NA,NA,,,,,,,,,
755,2008,FW08LA180,30.57489446,-91.31236902,6,8070100,Year2008,8th+,3.27,0.93843,1335,173.8375,2954290,690.752,20.644,2.728,5.421,36.888,1.293,24.174,31.445,,4.307,14.43,19.12,0.008,0,7.767,37.2,46.8,21.88,8.18,24.25,42.88,2691.9,0.003,423.47,,,,,,,,,
756,2008,FW08LA182,29.83838108,-89.98984593,6,8090100,Year2008,8th+,2.863426181,NA,349.357,154,2955410,690.49,20.636,2.736,5.435,36.876,1.295,24.452,31.434,,4.027,13.42,26.369,0.00494,NA,14.219,50.52812377,65.8,NA,NA,37.89130627,38.551,2937.4596,NA,NA,,,,,,,,,
757,2008,FW08LA195,29.99781702,-90.46133422,6,8070100,Year2008,8th+,2.810522047,NA,857.291,128,2954760,690.643,20.641,2.734,5.423,36.884,1.293,24.182,31.441,,3.341,6.911,22.494,0.00857,NA,5.494,47.87911589,62.90909091,NA,NA,35.95551398,40.356,3285.3114,NA,NA,,,,,,,,,
758,2008,FW08LA198,29.9210508,-89.92790872,6,8090100,Year2008,8th+,2.937539668,NA,468.133,162,2955410,690.49,20.636,2.736,5.435,36.876,1.295,24.452,31.434,,4.392,2.458,22.984,NA,NA,14.131,51.93150066,53.11111111,NA,NA,44.89676401,38.98,2909.088,NA,NA,,,,,,,,,
759,2008,FW08LA227,30.26707579,-91.12171416,6,8070100,Year2008,8th+,2.931407394,NA,1114,151,2954630,690.674,20.642,2.733,5.423,36.886,1.293,24.183,31.442,,3.856,13.213,19.206,0.0139,NA,5.905,38.43283552,62.2,NA,NA,30.32425379,37.421,2653.22412,NA,NA,,,,,,,,,
760,2008,FW08LA228,30.8366564,-91.52369148,6,8070100,Year2008,8th+,2.752026052,NA,779.043,164,2952710,691.094,20.632,2.717,5.423,36.901,1.293,24.18,31.455,,4.013,17.364,24.358,0.00724,NA,5.704,46.73270908,83.11111111,NA,NA,27.49831304,42.168,2932.98408,NA,NA,,,,,,,,,
761,2008,FW08LA167,30.15320111,-90.99949319,6,8070100,Year2008,8th+,2.866756438,NA,337.577,13,2954660,690.667,20.642,2.733,5.423,36.886,1.293,24.183,31.442,,4.076,10.029,32.659,0.00752,NA,13.717,55.6224754,71.6,NA,NA,33.97793516,47.345,3268.14858,NA,NA,,,,,,,,,
762,2008,FW08WV006,39.13142804,-81.34433728,3,5030203,Year2008,5th,2.46,0.00677,182,19.6675,1204.02002,293.278,86.14,0.002,5.391,7.742,1.14,8.742,0.566,,1.983,4.078,10.69,0.006,0,5.636,11.35,6.9,14.7,7.35,21.19,16.52,886.39,0.0036,190.25,,,,,,,,,
763,2008,FW08WV005,37.54136119,-82.03361116,3,5070201,Year2008,5th,1.53,0.30255,503,28.9613,1650.040039,588.887,86.862,0.002,6.552,1.471,0.928,19.463,3.547,,3.239,17.35,67.3,0.012,0.00096,6.53,95.92,17.6,13.42,8.62,12.76,36.54,3582.48,0.009,576.46,,,,,,,,,
764,2008,FW08WV008,38.58808573,-80.89452344,3,5050007,Year2008,5th,1.15,0.21795,354,8.6488,1950.949951,659.84,92.228,0.025,4.201,2.03,0.938,7.747,0.352,,1.249,4.629,3.214,0.012,0,2.825,25.23,0.6,2.39,7.59,3.38,11.71,504.3,0.0037,126.1,,,,,,,,,
765,2008,FW08WV008,38.58808573,-80.89452344,3,5050007,Year2008,5th,1.38,0.22382,384,12.0869,1950.949951,NA,NA,NA,NA,NA,NA,NA,NA,,1.557,5.497,3.741,0.008,0,2.781,29.76,0.4,2.38,7.27,4.37,13.47,587.37,0.0058,149.28,,,,,,,,,
766,2008,FW08WV009,38.35711153,-82.22414611,3,5070102,Year2008,6th,1.43,0.51411,711,15.5494,3284,489.273,84.919,0.009,6.261,1.524,0.953,24.829,5.696,,3.615,14.91,40.68,0.007,0,5.225,96.56,13.1,6.96,7.82,16.35,30.46,1860.12,0.0121,454.98,,,,,,,,,
767,2008,FW08WV013,38.32991799,-81.58526801,3,5050006,Year2008,6th,1.61,0.24332,595,24.3463,23022.40039,774.447,73.92,0.151,6.595,16.547,1.355,26.678,1.663,,1.877,8.097,10.53,0.01,0.00382,4.519,38.39,4.8,5.33,7.96,9.28,18.39,998.23,0.0145,234.3,,,,,,,,,
768,2008,FW08WV014,38.81709494,-82.10041106,3,5050008,Year2008,6th,1.96,0.31185,737,34.6163,31697.40039,677.334,76.939,0.123,6.674,13.143,1.309,28.601,1.849,,2.2,9.695,18.28,0.078,0.01108,3.242,54.05,8.8,13.2,7.95,13.98,20.83,1032.6,0.0028,291,,,,,,,,,
769,2008,FW08WV022,39.21057992,-81.15284234,3,5030203,Year2008,5th,3.6,0.06607,359,25.9325,385.5700073,294.757,82.86,0,6.608,9.669,1.354,17.001,0.688,,2.072,3.991,7.094,0.02,0,4.589,11.22,3.6,6.34,7.16,9.02,16.38,1071.78,0.0082,164.73,,,,,,,,,
770,2008,FW08WV027,39.64842535,-79.98746651,3,5020003,Year2008,6th,1.99,0.25202,583,11.6275,6915.490234,516.867,77.528,0.048,8.456,12.1,1.543,39.825,0.323,,2.576,14.39,40.14,0.11,0.00728,3.629,180.95,3,6.24,8.08,10.05,52.17,1498.25,0.034,657.6,,,,,,,,,
771,2008,FW08WV023,39.47830379,-80.88022407,3,5030201,Year2008,5th,2.07,0.01538,251,25.2638,914.526001,321.978,89.713,0.01,4.373,5.351,1.105,9.063,0.369,,2.013,4.055,6.38,0.038,0,5.917,13.15,11.2,8.51,7.94,7.9,16.85,990.74,0.0041,159.3,,,,,,,,,
772,2008,FW08WV029,38.45405985,-81.78074814,3,5050008,Year2008,5th,2.76,0.057,432,45.5425,854.5599976,267.759,83.031,0.031,8.528,7.616,1.306,33.491,0.536,,2.129,5.055,7.601,0.01,0,7.328,22.88,14.7,15.7,7.85,8.93,22.01,1230.13,4.00E-04,203.8,,,,,,,,,
773,2008,FW08WV033,37.60034214,-82.15683374,3,5070201,Year2008,6th,1.36,0.28119,463,12.1213,2156.080078,558.258,85.413,0.002,6.109,1.244,0.94,20.432,5.325,,3.561,20.18,57.74,0.009,0.00241,3.835,124.14,28.7,16.95,8.36,12.31,28.97,2607.71,0.0066,558.54,,,,,,,,,
774,2008,FW08ME019,43.49885449,-70.4642289,1,1060002,Year2008,6th,4.82,0.04722,325,5.2588,4361.370117,283.039,78.649,5.831,5.249,3.208,1.333,19.634,3.687,,0.571,0.482,4.104,0.018,0,6.625,2.4,0.2,4.06,6.98,6.8,2.791,128.32,0.0718,46.47,,,,,,,,,
775,2008,FW08FL025,30.93494339,-85.85018747,4,3140203,Year2008,7th,2.89,0.56504,900,53.1094,8327.929688,97.26,47.28,6.715,6.372,22.281,1.281,23.951,16.409,,1.455,2.446,5.4,0.021,0.00426,7.235,3.45,4.7,5.65,7.92,6.15,12.21,765.16,0.0235,112.99,,,,,,,,,
776,2008,OWW04440-0456,39.14697049,-91.39218266,7,7110008,Year2008,3rd,4.08,1.28918,1756,69.7238,61.63219833,229.073,4.584,1.014,4.56,89.043,1.431,2.22,0.096,,6.219,5.75,12.16,0.01,0.0051,9.72,22.75,25,8.54,7.47,15.3,22.94,1425.63,0.0051,256.19,,,,,,,,,
